orcid,faculties,note
0000-0001-5736-1948,mint,hand-classified from publications
0000-0001-6272-8898,mint,hand-classified from publications
0000-0001-6274-6973,mint,hand-classified from publications
0000-0001-6389-1160,mint,hand-classified from publications
0000-0001-6868-227X,mint,hand-classified from publications
0000-0001-6875-0172,mint,hand-classified from publications
0000-0001-7158-7855,mint,hand-classified from publications
0000-0001-7201-6771,mint,hand-classified from publications
0000-0001-7328-636X,mint,hand-classified from publications
0000-0001-7405-013X,mint,hand-classified from publications
0000-0001-7501-2506,mint,hand-classified from publications
0000-0001-7785-4926,mint,hand-classified from publications
0000-0001-8244-9642,mint,hand-classified from publications
0000-0001-8255-5883,mint,hand-classified from publications
0000-0001-8275-0822,mint,hand-classified from publications
0000-0001-8424-9898,mint,hand-classified from publications
0000-0001-8796-3229,mint,hand-classified from publications
0000-0001-8951-1517,mint,hand-classified from publications
0000-0001-9017-9494,mint,hand-classified from publications
0000-0001-9180-0422,mint,hand-classified from publications
0000-0001-9235-4399,mint,hand-classified from publications
0000-0001-9296-017X,mint,hand-classified from publications
0000-0001-9337-0753,mint,hand-classified from publications
0000-0001-9359-7181,mint,hand-classified from publications
0000-0001-9392-1471,mint,hand-classified from publications
0000-0001-9404-3738,mint,hand-classified from publications
0000-0001-9444-008X,mint,hand-classified from publications
0000-0001-9851-0575,mint,hand-classified from publications
0000-0002-0228-5551,mint,hand-classified from publications
0000-0002-0367-2721,mint,hand-classified from publications
0000-0002-0408-872X,mint,hand-classified from publications
0000-0002-0423-4926,mint,hand-classified from publications
0000-0002-0505-2091,mint,hand-classified from publications
0000-0002-1037-7544,mint,hand-classified from publications
0000-0002-1110-7765,mint,hand-classified from publications
0000-0002-1270-6807,mint,hand-classified from publications
0000-0002-1525-042X,mint,hand-classified from publications
0000-0002-1584-2089,mint,hand-classified from publications
0000-0002-1594-7083,mint,hand-classified from publications
0000-0002-1657-7950,mint,hand-classified from publications
0000-0002-1764-5409,mint,hand-classified from publications
0000-0002-1886-6633,mint,hand-classified from publications
0000-0002-2127-1817,mint,hand-classified from publications
0000-0002-2138-5558,mint,hand-classified from publications
0000-0002-2371-4909,mint,hand-classified from publications
0000-0002-2512-3600,mint,hand-classified from publications
0000-0002-2656-3878,mint,hand-classified from publications
0000-0002-3347-3547,mint,hand-classified from publications
0000-0002-3623-4963,tech,hand-classified from publications
0000-0002-4122-1091,mint,hand-classified from publications
0000-0002-4300-5675,mint,hand-classified from publications
0000-0002-4441-9474,mint,hand-classified from publications
0000-0002-5279-1444,mint,hand-classified from publications
0000-0002-5342-0450,mint,hand-classified from publications
0000-0002-5348-2512,mint,hand-classified from publications
0000-0002-5452-2424,mint,hand-classified from publications
0000-0002-5680-1734,mint,hand-classified from publications
0000-0002-6136-9499,mint,hand-classified from publications
0000-0002-6239-8312,mint,hand-classified from publications
0000-0002-6336-5897,mint,hand-classified from publications
0000-0002-6490-9809,mint,hand-classified from publications
0000-0002-6747-1769,mint,hand-classified from publications
0000-0002-6819-373X,mint,hand-classified from publications
0000-0002-7319-6513,mint,hand-classified from publications
0000-0002-7724-3831,mint,hand-classified from publications
0000-0002-8214-4969,mint,hand-classified from publications
0000-0002-8254-4663,mint,hand-classified from publications
0000-0002-8278-4376,mint,hand-classified from publications
0000-0002-9036-5323,mint,hand-classified from publications
0000-0002-9152-1826,mint,hand-classified from publications
0000-0002-9883-5086,mint,hand-classified from publications
0000-0002-9980-4599,mint,hand-classified from publications
0000-0003-0041-7044,mint,hand-classified from publications
0000-0003-0088-8364,mint,hand-classified from publications
0000-0003-0187-9179,mint,hand-classified from publications
0000-0003-0773-0105,mint,hand-classified from publications
0000-0003-0977-8954,mint,hand-classified from publications
0000-0003-1779-2684,mint,hand-classified from publications
0000-0003-1792-9134,mint,hand-classified from publications
0000-0003-2071-8602,mint,hand-classified from publications
0000-0003-2162-0981,mint,hand-classified from publications
0000-0003-2172-7906,mint,hand-classified from publications
0000-0003-2273-8367,mint,hand-classified from publications
0000-0003-2287-1168,mint,hand-classified from publications
0000-0003-2313-0628,mint,hand-classified from publications
0000-0003-2464-1630,mint,hand-classified from publications
0000-0003-2993-0335,mint,hand-classified from publications
0000-0003-3223-1797,mint,hand-classified from publications
0000-0003-3361-7384,mint,hand-classified from publications
0000-0003-3403-6880,mint,hand-classified from publications
0000-0003-3674-8347,mint,hand-classified from publications
0000-0003-3783-9179,mint,hand-classified from publications
0000-0003-3795-0475,mint,hand-classified from publications
0000-0003-4647-1273,mint,hand-classified from publications
0000-0003-4962-9232,mint,hand-classified from publications
0009-0002-6676-8824,mint,hand-classified from publications
0009-0003-1713-614X,mint,hand-classified from publications
0009-0006-8034-6272,mint,hand-classified from publications
0009-0006-9311-3099,mint,hand-classified from publications
0009-0008-3829-6704,mint,hand-classified from publications
0009-0009-5046-0906,mint,hand-classified from publications
no_orcid_10210,mint,hand-classified from publications
no_orcid_10598,med,hand-classified from publications
no_orcid_10627,mint,hand-classified from publications
no_orcid_10628,mint,hand-classified from publications
no_orcid_1071,mint,hand-classified from publications
no_orcid_1214,sowi,hand-classified from publications
no_orcid_1285,mint,hand-classified from publications
no_orcid_1387,mint,hand-classified from publications
no_orcid_15,mint,hand-classified from publications
no_orcid_1538,med,hand-classified from publications
no_orcid_16,mint,hand-classified from publications
no_orcid_1854,mint,hand-classified from publications
no_orcid_1989,mint,hand-classified from publications
no_orcid_1991,mint,hand-classified from publications
no_orcid_2035,sowi,hand-classified from publications
no_orcid_2036,sowi,hand-classified from publications
no_orcid_2230,mint,hand-classified from publications
no_orcid_226,mint,hand-classified from publications
no_orcid_2288,mint,hand-classified from publications
