orcid,faculties,note
0000-0002-2704-6178,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0002-4054-1149,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0002-6490-125X,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0002-8312-0547,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0003-0640-9387,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0003-1798-8679,tech,hand-reclassified from publications (concordance backfill correction)
0000-0003-1803-3727,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0003-2577-0928,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0003-3263-2873,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0003-3520-898X,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0003-3710-5343,sowi,hand-reclassified from publications (concordance backfill correction)
0009-0009-0833-1350,sowi,hand-reclassified from publications (concordance backfill correction)
no_orcid_2806,sowi,hand-reclassified from publications (concordance backfill correction)
no_orcid_7458,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0001-9444-4654,mint,hand-reclassified from publications (concordance backfill correction)
no_orcid_6077,agrar,hand-reclassified from publications (concordance backfill correction)
0000-0001-5438-4546,mint,hand-reclassified from publications (concordance backfill correction)
0000-0002-6239-0169,sowi,hand-reclassified from publications (concordance backfill correction)
no_orcid_1400,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0001-6835-6722,mint,hand-reclassified from publications (concordance backfill correction)
0000-0001-6972-2157,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0001-7524-4577,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0001-8198-3755,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0001-9578-2583,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0001-9696-483X,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0002-0347-1700,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0002-2377-5963,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0002-3370-1669,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0002-3876-7739,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0002-3906-5544,mint,hand-reclassified from publications (concordance backfill correction)
0000-0002-4764-6867,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0002-4994-0453,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0002-5199-1495,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0002-6360-7024,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0002-9295-5028,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0003-0318-2324,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0003-0916-2906,mint,hand-reclassified from publications (concordance backfill correction)
0000-0003-1464-685X,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0003-1897-2783,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0003-2800-2596,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0003-2960-5305,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0003-3072-1741,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0003-3161-8658,sowi,hand-reclassified from publications (concordance backfill correction)
0009-0001-5525-3860,sowi,hand-reclassified from publications (concordance backfill correction)
0009-0004-1263-020X,sowi,hand-reclassified from publications (concordance backfill correction)
no_orcid_2305,sowi,hand-reclassified from publications (concordance backfill correction)
no_orcid_2865,sowi,hand-reclassified from publications (concordance backfill correction)
no_orcid_3310,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0001-6856-7239,mint,hand-reclassified from publications (concordance backfill correction)
0000-0002-4612-2818,agrar,hand-reclassified from publications (concordance backfill correction)
0000-0002-4781-2386,agrar,hand-reclassified from publications (concordance backfill correction)
0000-0002-6085-4433,mint,hand-reclassified from publications (concordance backfill correction)
0000-0003-3020-7312,agrar,hand-reclassified from publications (concordance backfill correction)
0000-0003-3036-5572,mint,hand-reclassified from publications (concordance backfill correction)
no_orcid_6078,agrar,hand-reclassified from publications (concordance backfill correction)
0000-0002-3112-9179,med,hand-reclassified from publications (concordance backfill correction)
0000-0002-7796-8234,med,hand-reclassified from publications (concordance backfill correction)
no_orcid_10073,med,hand-reclassified from publications (concordance backfill correction)
no_orcid_10074,med,hand-reclassified from publications (concordance backfill correction)
no_orcid_3230,phil,hand-reclassified from publications (concordance backfill correction)
0009-0000-6083-5673,sowi,hand-reclassified from publications (concordance backfill correction)
no_orcid_4617,sowi,hand-reclassified from publications (concordance backfill correction)
no_orcid_4618,sowi,hand-reclassified from publications (concordance backfill correction)
no_orcid_1392,jura,hand-reclassified from publications (concordance backfill correction)
0000-0002-3951-8638,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0002-7591-8532,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0003-2650-1404,phil,hand-reclassified from publications (concordance backfill correction)
no_orcid_3668,phil,hand-reclassified from publications (concordance backfill correction)
no_orcid_5556,rewi,hand-reclassified from publications (concordance backfill correction)
no_orcid_8095,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0001-5585-1169,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0001-6827-1374,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0001-6877-9098,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0001-7502-7003,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0001-9268-3555,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0002-0638-2658,mint,hand-reclassified from publications (concordance backfill correction)
0000-0002-1269-5677,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0002-2305-113X,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0002-2753-9845,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0002-2985-358X,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0002-3083-2946,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0002-3251-9021,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0002-3450-8457,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0002-4733-074X,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0002-7510-4010,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0003-1541-3513,sowi,hand-reclassified from publications (concordance backfill correction)
0000-0003-1767-9104,sowi,hand-reclassified from publications (concordance backfill correction)
no_orcid_1588,agrar,hand-reclassified from publications (concordance backfill correction)
0000-0002-4497-1920,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0003-0894-7576,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0003-1215-1116,sowi,hand-reclassified from publications (within-domain concordance correction)
0000-0002-3726-8268,agrar,hand-reclassified from publications (within-domain concordance correction)
0000-0002-7116-2280,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-7872-6667,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0003-4964-2402,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0001-7014-5748,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0001-8675-0758,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0001-8935-8612,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-1471-3330,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-2871-246X,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-3355-8815,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-5179-5005,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-6912-7865,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-8530-4737,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0003-0621-9049,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0003-0904-5531,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0003-1003-2025,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0003-1713-7890,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0003-3773-7340,mint,hand-reclassified from publications (within-domain concordance correction)
no_orcid_10625,mint,hand-reclassified from publications (within-domain concordance correction)
no_orcid_10626,mint,hand-reclassified from publications (within-domain concordance correction)
no_orcid_1241,mint,hand-reclassified from publications (within-domain concordance correction)
no_orcid_8106,mint,hand-reclassified from publications (within-domain concordance correction)
no_orcid_8526,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0001-8551-7751,agrar,hand-reclassified from publications (within-domain concordance correction)
0000-0002-0945-0724,med,hand-reclassified from publications (within-domain concordance correction)
0000-0002-1133-9216,med,hand-reclassified from publications (within-domain concordance correction)
0000-0002-2720-2222,med,hand-reclassified from publications (within-domain concordance correction)
0000-0002-4160-7103,med,hand-reclassified from publications (within-domain concordance correction)
0000-0003-2353-7188,med,hand-reclassified from publications (within-domain concordance correction)
0000-0003-2624-7362,med,hand-reclassified from publications (within-domain concordance correction)
0000-0003-3737-5749,med,hand-reclassified from publications (within-domain concordance correction)
no_orcid_3404,agrar,hand-reclassified from publications (within-domain concordance correction)
no_orcid_962,agrar,hand-reclassified from publications (within-domain concordance correction)
0000-0001-9913-3206,tech,hand-reclassified from publications (within-domain concordance correction)
0009-0000-8973-8711,jura,hand-reclassified from publications (within-domain concordance correction)
0000-0001-7207-3493,sowi,hand-reclassified from publications (within-domain concordance correction)
0000-0001-7369-6561,agrar,hand-reclassified from publications (within-domain concordance correction)
0000-0001-7408-425X,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0001-8636-9009,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0001-9055-7571,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-1594-398X,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-9038-8787,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0003-2663-5015,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0003-3599-0406,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0003-3755-785X,mint,hand-reclassified from publications (within-domain concordance correction)
no_orcid_3046,sowi,hand-reclassified from publications (within-domain concordance correction)
no_orcid_3540,agrar,hand-reclassified from publications (within-domain concordance correction)
no_orcid_5701,sowi,hand-reclassified from publications (within-domain concordance correction)
0000-0002-3146-150X,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-9191-7548,med,hand-reclassified from publications (within-domain concordance correction)
0000-0003-3053-476X,med,hand-reclassified from publications (within-domain concordance correction)
no_orcid_1529,med,hand-reclassified from publications (within-domain concordance correction)
no_orcid_1530,med,hand-reclassified from publications (within-domain concordance correction)
no_orcid_2407,med,hand-reclassified from publications (within-domain concordance correction)
no_orcid_7593,mint,hand-reclassified from publications (within-domain concordance correction)
no_orcid_7622,med,hand-reclassified from publications (within-domain concordance correction)
0000-0001-5391-7902,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0001-5469-2506,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0001-6335-5798,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0001-6847-5502,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0001-6893-7324,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0001-7620-3590,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0001-7827-5731,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0001-8376-891X,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-0188-5504,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-0252-468X,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-0842-0152,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-1747-8495,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-1779-1940,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-1895-0771,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-2126-9100,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-3378-6674,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-4392-6167,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-4681-7476,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-4912-2848,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-5142-8934,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-5192-4858,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-5376-9011,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-5825-8069,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-6245-0133,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-7791-9635,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-7946-0282,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-7946-3686,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-8442-9722,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-8572-0060,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-9354-6904,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-9687-5455,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-9838-6866,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0003-0071-3388,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0003-0762-6543,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0003-1531-8890,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0003-1926-114X,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0003-2556-2096,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0003-3251-4551,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0003-3726-1004,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0003-3944-9879,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0003-4265-3168,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0003-4496-5376,mint,hand-reclassified from publications (within-domain concordance correction)
0009-0004-7500-3537,mint,hand-reclassified from publications (within-domain concordance correction)
0009-0008-3854-1570,mint,hand-reclassified from publications (within-domain concordance correction)
no_orcid_1510,mint,hand-reclassified from publications (within-domain concordance correction)
no_orcid_2573,mint,hand-reclassified from publications (within-domain concordance correction)
no_orcid_3395,mint,hand-reclassified from publications (within-domain concordance correction)
no_orcid_3722,mint,hand-reclassified from publications (within-domain concordance correction)
no_orcid_4012,sowi,hand-reclassified from publications (within-domain concordance correction)
no_orcid_4689,mint,hand-reclassified from publications (within-domain concordance correction)
no_orcid_4796,mint,hand-reclassified from publications (within-domain concordance correction)
no_orcid_6755,mint,hand-reclassified from publications (within-domain concordance correction)
no_orcid_6927,mint,hand-reclassified from publications (within-domain concordance correction)
no_orcid_7330,mint,hand-reclassified from publications (within-domain concordance correction)
no_orcid_8366,mint,hand-reclassified from publications (within-domain concordance correction)
0000-0002-0331-5185,mint,hand-reclassified from publications (concordance correction)
0000-0002-3630-2516,sowi,hand-reclassified from publications (concordance correction)
0000-0002-4514-2462,mint,hand-reclassified from publications (concordance correction)
0000-0002-6129-5493,sowi,hand-reclassified from publications (concordance correction)
no_orcid_3555,sowi,hand-reclassified from publications (concordance correction)
0000-0001-8091-6470,phil,hand-reclassified from publications (concordance correction)
0000-0002-8761-0025,mint,hand-reclassified from publications (concordance correction)
0000-0002-6028-0046,mint,hand-reclassified from publications (concordance correction)
no_orcid_1018,phil,hand-reclassified from publications (concordance correction)
0000-0001-7642-5556,sowi,hand-reclassified from publications (concordance correction)
no_orcid_2427,tech,hand-reclassified from publications (concordance correction)
0000-0002-6082-1199,sowi,hand-reclassified from publications (concordance correction)
0000-0003-0453-4491,sowi,hand-reclassified from publications (concordance correction)
no_orcid_1323,agrar,hand-reclassified from publications (concordance correction)
no_orcid_8282,mint,hand-reclassified from publications (concordance correction)
0000-0003-4635-275X,mint,hand-reclassified from publications (concordance correction)
0000-0002-0072-336X,mint,hand-reclassified from publications (concordance correction)
0000-0002-1192-1716,mint,hand-classified from publications
no_orcid_3671,mint,hand-classified from publications
0000-0003-1540-932X,phil,hand-classified from publications
0000-0003-3357-3801,mint,hand-classified from publications
no_orcid_3672,mint,hand-classified from publications
no_orcid_3893,mint,hand-classified from publications
0000-0001-6309-2609,mint,hand-classified from publications
no_orcid_3188,mint,hand-classified from publications
0000-0001-7492-9953,sowi,hand-classified from publications
no_orcid_6233,med,hand-classified from publications
no_orcid_6234,med,hand-classified from publications
no_orcid_8130,sowi,hand-classified from publications
0000-0003-4117-4771,mint,hand-classified from publications
0000-0002-1749-2713,med,hand-classified from publications
no_orcid_1815,med,hand-classified from publications
no_orcid_1817,med,hand-classified from publications
no_orcid_1816,med,hand-classified from publications
no_orcid_6471,med,hand-classified from publications
no_orcid_9637,med,hand-classified from publications
no_orcid_9659,sowi,hand-classified from publications
no_orcid_8868,med,hand-classified from publications
0000-0001-9374-8015,phil,hand-classified from publications
no_orcid_4435,mint,hand-classified from publications
0000-0002-0294-0210,mint,hand-classified from publications
0000-0002-1585-0724,mint,hand-classified from publications
no_orcid_8697,mint,hand-classified from publications
0000-0002-2475-2165,phil,hand-classified from publications
0000-0002-8852-7688,mint,hand-classified from publications
no_orcid_1821,phil,hand-classified from publications
no_orcid_9647,phil,hand-classified from publications
0000-0003-1143-2741,sowi,hand-classified from publications
no_orcid_101,sowi,hand-classified from publications
no_orcid_6855,med,hand-classified from publications
no_orcid_6856,med,hand-classified from publications
no_orcid_3289,med,hand-classified from publications
0000-0003-2101-0024,agrar,hand-classified from publications
no_orcid_1515,med,hand-classified from publications
0000-0002-2856-7303,sowi,hand-classified from publications
0000-0003-1207-8924,mint,hand-classified from publications
0000-0002-6263-9614,sowi,hand-classified from publications
0000-0002-7492-3911,sowi,hand-classified from publications
0000-0002-9591-9946,sowi,hand-classified from publications
0000-0003-3661-4568,sowi,hand-classified from publications
no_orcid_8984,sowi,hand-classified from publications
no_orcid_8985,sowi,hand-classified from publications
no_orcid_8986,sowi,hand-classified from publications
no_orcid_352,med,hand-classified from publications
0000-0002-2125-3213,mint,hand-classified from publications
no_orcid_6890,tech,hand-classified from publications
no_orcid_6894,agrar,hand-classified from publications
no_orcid_2089,tech,hand-classified from publications
no_orcid_8121,jura,hand-classified from publications
no_orcid_10760,phil,hand-classified from publications
no_orcid_5185,sowi,hand-classified from publications
0000-0001-8331-5750,agrar,hand-classified from publications
0000-0001-9142-1457,mint,hand-classified from publications
0000-0002-2307-0613,phil,hand-classified from publications
0000-0002-8249-4926,agrar,hand-classified from publications
0000-0003-1177-8996,mint,hand-classified from publications
0000-0003-4148-4016,phil,hand-classified from publications
0009-0009-0928-7945,mint,hand-classified from publications
no_orcid_10281,mint,hand-classified from publications
no_orcid_10549,agrar,hand-classified from publications
no_orcid_1461,mint,hand-classified from publications
no_orcid_3687,med,hand-classified from publications
no_orcid_5316,mint,hand-classified from publications
no_orcid_7671,phil,hand-classified from publications
0000-0001-5860-2184,med,hand-classified from publications
0000-0002-0274-8595,med,hand-classified from publications
0000-0002-4075-4603,med,hand-classified from publications
0000-0002-5097-8141,med,hand-classified from publications
0000-0003-3539-2326,med,hand-classified from publications
0000-0003-4183-1794,med,hand-classified from publications
no_orcid_10373,med,hand-classified from publications
no_orcid_2167,mint,hand-classified from publications
no_orcid_224,phil,hand-classified from publications
no_orcid_2771,mint,hand-classified from publications
no_orcid_3255,mint,hand-classified from publications
no_orcid_3562,mint,hand-classified from publications
no_orcid_7566,med,hand-classified from publications
0000-0001-5154-9886,mint,hand-classified from publications
0000-0001-6799-9777,mint,hand-classified from publications
0000-0001-6955-2020,mint,hand-classified from publications
0000-0001-8510-1780,mint,hand-classified from publications
0000-0001-9138-2144,mint,hand-classified from publications
0000-0001-9212-354X,mint,hand-classified from publications
0000-0002-0060-4141,mint,hand-classified from publications
0000-0002-0675-6066,mint,hand-classified from publications
0000-0002-1667-9260,mint,hand-classified from publications
0000-0002-2653-9245,tech,hand-classified from publications
0000-0002-3697-972X,mint,hand-classified from publications
0000-0002-5712-8203,mint,hand-classified from publications
0000-0002-6222-294X,mint,hand-classified from publications
0000-0002-6416-240X,mint,hand-classified from publications
0000-0002-6938-2284,mint,hand-classified from publications
0000-0002-8295-7126,mint,hand-classified from publications
0000-0002-9829-3811,mint,hand-classified from publications
0000-0003-1477-0121,mint,hand-classified from publications
0000-0003-2950-7983,mint,hand-classified from publications
0000-0003-3228-5592,mint,hand-classified from publications
0009-0006-5907-2908,mint,hand-classified from publications
0009-0007-7221-0209,mint,hand-classified from publications
no_orcid_10153,mint,hand-classified from publications
no_orcid_10398,mint,hand-classified from publications
no_orcid_2205,mint,hand-classified from publications
no_orcid_2234,mint,hand-classified from publications
no_orcid_2625,mint,hand-classified from publications
no_orcid_275,mint,hand-classified from publications
no_orcid_284,mint,hand-classified from publications
no_orcid_2886,mint,hand-classified from publications
no_orcid_2968,mint,hand-classified from publications
no_orcid_3386,mint,hand-classified from publications
no_orcid_3661,mint,hand-classified from publications
no_orcid_4217,mint,hand-classified from publications
no_orcid_4218,mint,hand-classified from publications
no_orcid_4219,mint,hand-classified from publications
no_orcid_431,mint,hand-classified from publications
no_orcid_437,mint,hand-classified from publications
no_orcid_4433,mint,hand-classified from publications
no_orcid_4570,mint,hand-classified from publications
no_orcid_5221,mint,hand-classified from publications
no_orcid_5389,mint,hand-classified from publications
no_orcid_654,phil,hand-classified from publications
no_orcid_6676,mint,hand-classified from publications
no_orcid_7527,mint,hand-classified from publications
no_orcid_8721,mint,hand-classified from publications
no_orcid_9477,mint,hand-classified from publications
no_orcid_9618,phil,hand-classified from publications
no_orcid_985,mint,hand-classified from publications
0000-0001-7836-4646,phil,hand-classified from publications
0000-0001-8853-8064,phil,hand-classified from publications
0000-0002-8620-4906,phil,hand-classified from publications
0000-0002-9035-0949,phil,hand-classified from publications
0000-0003-0933-1052,phil,hand-classified from publications
0000-0003-4304-1956,med,hand-classified from publications
0000-0003-4938-7528,med,hand-classified from publications
no_orcid_10496,phil,hand-classified from publications
no_orcid_3570,phil,hand-classified from publications
no_orcid_6524,phil,hand-classified from publications
no_orcid_683,phil,hand-classified from publications
no_orcid_7128,phil,hand-classified from publications
no_orcid_7981,phil,hand-classified from publications
no_orcid_7982,phil,hand-classified from publications
no_orcid_8061,phil,hand-classified from publications
0000-0001-5560-2015,sowi,hand-classified from publications
0000-0001-5856-2020,sowi,hand-classified from publications
0000-0001-6375-0165,sowi,hand-classified from publications
0000-0001-7410-6324,sowi,hand-classified from publications
0000-0001-8358-4053,sowi,hand-classified from publications
0000-0002-1318-3243,sowi,hand-classified from publications
0000-0002-3032-399X,sowi,hand-classified from publications
0000-0002-3599-8574,sowi,hand-classified from publications
0000-0002-3616-9815,sowi,hand-classified from publications
0000-0002-4053-2824,mint,hand-classified from publications
0000-0002-4893-6612,med,hand-classified from publications
0000-0002-7093-3514,sowi,hand-classified from publications
0000-0002-7909-7786,mint,hand-classified from publications
0000-0002-8132-4909,med,hand-classified from publications
0000-0002-8859-7707,med,hand-classified from publications
0000-0003-0015-2314,mint,hand-classified from publications
0000-0003-0505-0480,phil,hand-classified from publications
0000-0003-1134-9892,sowi,hand-classified from publications
0000-0003-2674-0229,sowi,hand-classified from publications
0000-0003-3099-0183,sowi,hand-classified from publications
0000-0003-3133-5674,med,hand-classified from publications
0009-0005-1433-9528,sowi,hand-classified from publications
no_orcid_1357,mint,hand-classified from publications
no_orcid_1703,sowi,hand-classified from publications
no_orcid_2263,sowi,hand-classified from publications
no_orcid_2297,sowi,hand-classified from publications
no_orcid_310,med,hand-classified from publications
no_orcid_3835,mint,hand-classified from publications
no_orcid_3903,mint,hand-classified from publications
no_orcid_4207,mint,hand-classified from publications
no_orcid_6492,sowi,hand-classified from publications
no_orcid_8011,sowi,hand-classified from publications
no_orcid_9349,sowi,hand-classified from publications
no_orcid_9520,sowi,hand-classified from publications
no_orcid_9527,sowi,hand-classified from publications
0000-0003-3814-693X,mint,hand-classified from publications
0000-0003-4037-1597,med,hand-classified from publications
0009-0001-4736-4026,phil,hand-classified from publications
no_orcid_8491,phil,hand-classified from publications
no_orcid_8493,phil,hand-classified from publications
0000-0002-8011-8484,tech,hand-classified from publications
0000-0002-3450-8748,tech,hand-classified from publications
0000-0001-5691-1215,tech,hand-classified from publications
0000-0002-8066-9251,phil,hand-classified from publications
0000-0003-1491-7656,agrar,hand-classified from publications
no_orcid_1898,mint,hand-classified from publications
no_orcid_848,sowi,hand-classified from publications
no_orcid_86,mint,hand-classified from publications
no_orcid_3274,tech,hand-classified from publications
no_orcid_3275,tech,hand-classified from publications
no_orcid_2855,phil,hand-classified from publications
no_orcid_345,phil,hand-classified from publications
no_orcid_1994,sowi,hand-classified from publications
0009-0003-7468-3481,mint,hand-classified from publications
no_orcid_4148,med,hand-classified from publications
no_orcid_4344,mint,hand-classified from publications
0000-0003-2958-4081,sowi,hand-classified from publications
no_orcid_1409,mint,hand-classified from publications
0000-0003-4612-8678,mint,hand-classified from publications
no_orcid_4166,sowi,hand-classified from publications
0000-0001-8413-7773,sowi,hand-classified from publications
0000-0002-0011-7837,med,hand-classified from publications
0000-0002-2414-2674,med,hand-classified from publications
no_orcid_4154,phil,hand-classified from publications
no_orcid_6080,mint,hand-classified from publications
no_orcid_7029,sowi,hand-classified from publications
no_orcid_7823,med,hand-classified from publications
0000-0001-6286-8196,mint,hand-classified from publications
0000-0002-0424-5123,mint,hand-classified from publications
0000-0002-1523-5270,mint,hand-classified from publications
0000-0002-1657-619X,mint,hand-classified from publications
0000-0002-3815-3446,mint,hand-classified from publications
0000-0003-1747-1506,mint,hand-classified from publications
0000-0003-4643-3664,mint,hand-classified from publications
no_orcid_1286,mint,hand-classified from publications
no_orcid_1678,mint,hand-classified from publications
no_orcid_2722,mint,hand-classified from publications
no_orcid_2723,mint,hand-classified from publications
no_orcid_2827,mint,hand-classified from publications
no_orcid_3989,mint,hand-classified from publications
no_orcid_6079,mint,hand-classified from publications
no_orcid_7345,mint,hand-classified from publications
no_orcid_9619,phil,hand-classified from publications
0000-0002-7360-4249,phil,hand-classified from publications
no_orcid_8487,sowi,hand-classified from publications
0000-0001-6688-7837,sowi,hand-classified from publications
0000-0001-6887-7966,sowi,hand-classified from publications
0000-0002-1803-6736,sowi,hand-classified from publications
0000-0002-5102-4040,sowi,hand-classified from publications
0009-0000-1028-8317,sowi,hand-classified from publications
no_orcid_2828,mint,hand-classified from publications
no_orcid_3988,mint,hand-classified from publications
no_orcid_4808,mint,hand-classified from publications
no_orcid_4809,mint,hand-classified from publications
no_orcid_857,sowi,hand-classified from publications
0000-0002-7072-0738,tech,hand-classified from publications
0000-0003-1985-6426,mint,hand-classified from publications
no_orcid_1690,mint,hand-classified from publications
0000-0001-7829-6962,mint,hand-classified from publications
0000-0002-9138-8340,mint,hand-classified from publications
0000-0001-8633-1908,mint,hand-classified from publications
no_orcid_2578,mint,hand-classified from publications
0000-0002-7932-0589,phil,hand-classified from publications
no_orcid_5059,tech,hand-classified from publications
0000-0002-8206-8863,tech,hand-classified from publications
no_orcid_660,mint,hand-classified from publications
no_orcid_88,mint,hand-classified from publications
no_orcid_4692,tech,hand-classified from publications
0000-0003-1706-2075,mint,hand-classified from publications
0000-0001-9020-8312,med,hand-classified from publications
0000-0002-1587-3678,mint,hand-classified from publications
0000-0003-4644-7644,mint,hand-classified from publications
no_orcid_5280,mint,hand-classified from publications
no_orcid_5281,mint,hand-classified from publications
no_orcid_9965,mint,hand-classified from publications
no_orcid_7932,tech,hand-classified from publications
0000-0002-2362-2422,phil,hand-classified from publications
0000-0001-5033-8737,mint,hand-classified from publications
0009-0001-2719-9748,mint,hand-classified from publications
0000-0001-8695-8030,mint,hand-classified from publications
no_orcid_3135,sowi,hand-classified from publications
0000-0001-5504-3487,mint,hand-classified from publications
0000-0001-6679-3777,mint,hand-classified from publications
0000-0001-7512-5105,mint,hand-classified from publications
0000-0002-0137-1984,mint,hand-classified from publications
0000-0003-1813-4149,mint,hand-classified from publications
0000-0003-4486-9966,mint,hand-classified from publications
no_orcid_2159,sowi,hand-classified from publications
